mois;jours_ouvres;ops_S_moy;ops_W_moy;ops_total_moy;ops_total_min;ops_total_max;horodatage
1;21;11.5;42.3;53.8;50.0;77.1;2026-05-20 09:34
2;20;15.0;36.1;51.0;52.8;73.2;2026-05-20 09:34
