pole;MAE;RMSE;R²;MAPE (%);Couverture IC (%);client;type_operation;horodatage
BULK_S;223.48;355.53;0.65;37.87;90.0;S;BULK;2026-05-21 09:28
BULK_W;140.13;240.52;0.54;26.07;85.0;W;BULK;2026-05-21 09:28
PICKING_S;1393.39;2061.44;0.78;28.13;62.5;S;PICKING;2026-05-21 09:28
PICKING_W;1550.01;2066.15;0.72;25.83;80.0;W;PICKING;2026-05-21 09:28
PROMO_S;948.42;1499.27;0.77;28.22;65.0;S;PROMO;2026-05-21 09:28
PROMO_W;948.39;1510.08;0.78;21.33;82.5;W;PROMO;2026-05-21 09:28
GLOBAL_S;2164.34;3338.46;0.83;23.49;65.0;S;GLOBAL;2026-05-21 09:28
GLOBAL_W;2175.54;3225.62;0.8;18.69;82.5;W;GLOBAL;2026-05-21 09:28
